SUBJ_CODE,CRSE_NUMB,SEQ_NUMB,CRN,EXAM_DATE,EXAM_TIME,BLDG_CODE,ROOM_CODE
PSYC,480,001,12210,12/7/2022,1900,TBA,TBA
ENST,302,001,13995,12/7/2022,1900,TBA,TBA
STAT,413,001,11919,12/7/2022,1900,RYN,201
BIOE,522,001,12762,12/7/2022,1900,BRC,284
CHIN,141,002,10671,12/7/2022,1400,TBA,TBA
ECON,601,001,11201,12/7/2022,1400,HRZ,210
HIST,408,001,14019,12/7/2022,1900,TBA,TBA
ENGL,390,001,14261,12/7/2022,0900,TBA,TBA
CHEM,123,001,11011,12/7/2022,1900,TBA,TBA
CHEM,123,005,11012,12/7/2022,1900,TBA,TBA
CHEM,123,009,13733,12/7/2022,1900,TBA,TBA
UNIV,220,001,11860,12/7/2022,1400,TBA,TBA
MDEM,101,001,11665,12/7/2022,0900,TBA,TBA
SPAN,303,001,11942,12/7/2022,1900,TBA,TBA
ECON,100,003,12879,12/7/2022,1900,FULLY,ONLINE
ECON,422,001,10636,12/7/2022,1900,TBA,TBA
CHEM,201,001,12157,12/7/2022,1400,DBH,210
COMP,435,001,14220,12/7/2022,1900,KCK,105
PSYC,420,001,14123,12/7/2022,1900,KCK,105
ECON,210,001,10729,12/7/2022,1900,HRG,100
BIOE,449,003,12709,12/7/2022,0900,TBA,TBA
BIOE,449,004,12711,12/7/2022,0900,TBA,TBA
BUSI,343,001,11377,12/7/2022,0900,TBA,TBA
BUSI,343,002,11378,12/7/2022,1900,TBA,TBA
MECH,202,001,11939,12/7/2022,1400,HRZ,212
ECON,209,002,13300,12/7/2022,1400,HRG,100
ECON,209,004,13301,12/7/2022,1400,HRG,100
ECON,209,003,13302,12/7/2022,1400,HRG,100
ECON,209,005,13303,12/7/2022,1400,HRG,100
ECON,305,001,10996,12/7/2022,1400,KRF,105
CEVE,431,001,11975,12/7/2022,0900,RYN,201
SPAN,204,001,14231,12/7/2022,1900,TBA,TBA
POLI,102,002,12248,12/7/2022,1900,TBA,TBA
BIOE,252,001,10084,12/7/2022,1400,BRK,101
COMP,430,001,11340,12/7/2022,1900,TBA,TBA
BIOE,524,001,14622,12/7/2022,1400,BRC,282
SOSC,302,001,11675,12/7/2022,1400,TBA,TBA
BUSI,296,001,10222,12/7/2022,1400,TBA,TBA
CLAS,218,001,14041,12/7/2022,1900,TBA,TBA
FREN,302,001,12159,12/7/2022,1900,TBA,TBA
BIOS,372,001,12549,12/7/2022,1400,KCK,100
KINE,120,003,14235,12/7/2022,1900,TBA,TBA
GERM,307,001,14047,12/7/2022,0900,TBA,TBA
KINE,300,002,11737,12/7/2022,1900,TBA,TBA
GREE,101,001,10198,12/7/2022,1900,TBA,TBA
HART,385,001,14184,12/7/2022,0900,TBA,TBA
BIOS,211,001,12318,12/7/2022,0900,TBA,TBA
BIOS,211,003,12320,12/7/2022,0900,TBA,TBA
BIOS,211,005,12322,12/7/2022,0900,TBA,TBA
BIOS,211,006,12323,12/7/2022,1400,TBA,TBA
BIOS,211,007,12324,12/7/2022,0900,TBA,TBA
