PERSON_IDENTIFIER,TERM_DESC,CRN,SUBJ_CODE,CRSE_NUMB,SECTION,SCHEDULE_TYPE,TITLE
20,Fall Semester 2022,10146,MUSI,463,001,STU,TRUMPET FOR MAJORS
20,Fall Semester 2022,10128,MUSI,311,001,LEC,THEORETICAL STUDIES III
20,Fall Semester 2022,14195,SOCI,334,001,LEC,SOCIOLOGY OF THE FAMILY
21,Fall Semester 2022,10490,MUSI,338,003,STU,CHAMBER MUSIC - UG
21,Fall Semester 2022,13996,FWIS,110,002,SEM,READING INNUENDO
21,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
21,Fall Semester 2022,10380,MUSI,339,006,STU,UG ORCHESTRAL REP
21,Fall Semester 2022,10146,MUSI,463,001,STU,TRUMPET FOR MAJORS
21,Fall Semester 2022,10123,MUSI,211,001,LEC,THEORY I
21,Fall Semester 2022,10124,MUSI,231,002,LL,AURAL SKILLS & PERFORM TECH I
21,Fall Semester 2022,10125,MUSI,281,001,STU,SECONDARY PIANO
22,Fall Semester 2022,10490,MUSI,338,003,STU,CHAMBER MUSIC - UG
22,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
22,Fall Semester 2022,10380,MUSI,339,006,STU,UG ORCHESTRAL REP
22,Fall Semester 2022,10145,MUSI,461,001,STU,HORN FOR MAJORS
22,Fall Semester 2022,10123,MUSI,211,001,LEC,THEORY I
22,Fall Semester 2022,10124,MUSI,231,002,LL,AURAL SKILLS & PERFORM TECH I
22,Fall Semester 2022,10125,MUSI,281,001,STU,SECONDARY PIANO
22,Fall Semester 2022,10743,FWIS,100,008,SEM,INTRO TO ACADEMIC WRITING
23,Fall Semester 2022,10491,MUSI,338,004,STU,CHAMBER MUSIC - UG
23,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
23,Fall Semester 2022,10381,MUSI,339,007,STU,UG ORCHESTRAL REP
23,Fall Semester 2022,10149,MUSI,471,001,STU,PERCUSSION FOR MAJORS
23,Fall Semester 2022,10150,MUSI,472,001,STU,GENERAL PERCUSSION STUDIES
23,Fall Semester 2022,13742,ARTS,432,001,SEM,FILM GENRE: THE WESTERN
23,Fall Semester 2022,13965,EEPS,116,001,LEC,EARTH AND THE SOLAR SYSTEM
24,Fall Semester 2022,10491,MUSI,338,004,STU,CHAMBER MUSIC - UG
24,Fall Semester 2022,13284,MUSI,281,003,STU,SECONDARY PIANO
24,Fall Semester 2022,10130,MUSI,321,001,LEC,BAROQUE & EARLY CLASSICAL ERAS
24,Fall Semester 2022,10131,MUSI,331,001,LL,AURAL SKILLS & PERF TECH III
24,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
24,Fall Semester 2022,10381,MUSI,339,007,STU,UG ORCHESTRAL REP
24,Fall Semester 2022,10149,MUSI,471,001,STU,PERCUSSION FOR MAJORS
24,Fall Semester 2022,10150,MUSI,472,001,STU,GENERAL PERCUSSION STUDIES
24,Fall Semester 2022,10128,MUSI,311,001,LEC,THEORETICAL STUDIES III
25,Fall Semester 2022,10491,MUSI,338,004,STU,CHAMBER MUSIC - UG
25,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
25,Fall Semester 2022,10381,MUSI,339,007,STU,UG ORCHESTRAL REP
25,Fall Semester 2022,10149,MUSI,471,001,STU,PERCUSSION FOR MAJORS
25,Fall Semester 2022,10150,MUSI,472,001,STU,GENERAL PERCUSSION STUDIES
25,Fall Semester 2022,10283,MUSI,231,001,LL,AURAL SKILLS & PERFORM TECH I
25,Fall Semester 2022,10123,MUSI,211,001,LEC,THEORY I
25,Fall Semester 2022,13720,FWIS,159,001,SEM,VOICING DISSENT
26,Fall Semester 2022,10493,MUSI,338,006,STU,CHAMBER MUSIC - UG
