CRN,TERM_CODE,SUBJ_CODE,CRSE_NUMB,SEQ_NUMB,SUBJ_DESC,SCHOOL_DESC,DEPT_DESC,ENRL,MAX_ENRL,MEETING,CRSE_TITLE,XLST_ENRL,XLST_MAX_ENRL,XLST_GROUP,INSTR_NAME,EXAM_TYPE
12692,202310,CHEM,215,002,Chemistry,School of Natural Sciences,Chemistry,39,45,01:00PM - 04:30PM T DBH 280,ORGANIC CHEMISTRY LAB,,,,"McNeil, Caroline V.",No Final Exam
12693,202310,CHEM,215,003,Chemistry,School of Natural Sciences,Chemistry,21,25,01:00PM - 04:30PM W DBH 280,ORGANIC CHEMISTRY LAB,,,,"McNeil, Caroline V.",No Final Exam
13217,202310,CHEM,121,S01,Chemistry,School of Natural Sciences,Chemistry,120,150,09:00AM - 09:50AM MWF BRK 101,GENERAL CHEMISTRY I,,,,"Hutchinson, John S.",Scheduled Final Exam-OTR Room
13218,202310,CHEM,121,S02,Chemistry,School of Natural Sciences,Chemistry,87,150,10:00AM - 10:50AM MWF BRK 101,GENERAL CHEMISTRY I,,,,"Kincaid, Kristi",Scheduled Final Exam-OTR Room
13219,202310,CHEM,121,S03,Chemistry,School of Natural Sciences,Chemistry,85,150,01:00PM - 01:50PM MWF BRK 101,GENERAL CHEMISTRY I,,,,"Kincaid, Kristi",Scheduled Final Exam-OTR Room
13220,202310,CHEM,123,002,Chemistry,School of Natural Sciences,Chemistry,37,48,06:30PM - 10:00PM M ABL 130,GENERAL CHEMISTRY LAB I,,,,"Kabir, S. M. Humayun",No Final Exam
13221,202310,CHEM,123,004,Chemistry,School of Natural Sciences,Chemistry,41,48,06:30PM - 10:00PM T ABL 130,GENERAL CHEMISTRY LAB I,,,,"Kabir, S. M. Humayun",No Final Exam
13222,202310,CHEM,123,006,Chemistry,School of Natural Sciences,Chemistry,27,48,06:30PM - 10:00PM W ABL 130,GENERAL CHEMISTRY LAB I,,,,"Kabir, S. M. Humayun",No Final Exam
13224,202310,CHEM,205,003,Chemistry,School of Natural Sciences,Chemistry,6,24,01:30PM - 05:30PM R DBH 230,ADV TOPICS IN GEN CHEM LAB,,,,"Gilbertson, Michelle L.",No Final Exam
13322,202310,CHEM,123,007,Chemistry,School of Natural Sciences,Chemistry,47,48,02:00PM - 05:30PM R ABL 130,GENERAL CHEMISTRY LAB I,,,,"Kobylianskii, Krista L.",No Final Exam
14379,202310,CHEM,121,S04,Chemistry,School of Natural Sciences,Chemistry,38,40,01:00PM - 01:50PM MWF SST 106,GENERAL CHEMISTRY I,,,,"Espinoza, Vanessa B.",Scheduled Final Exam-OTR Room
14380,202310,CHEM,452,001,Chemistry,School of Natural Sciences,Chemistry,13,20,07:00PM - 08:15PM MW BRC 286,CHEMICAL BIOLOGY,24,40,6B,"Xiao, Han",Scheduled Final Exam-OTR Room
13733,202310,CHEM,123,009,Chemistry,School of Natural Sciences,Chemistry,39,48,02:00PM - 05:30PM F ABL 130,GENERAL CHEMISTRY LAB I,,,,"Kabir, S. M. Humayun",No Final Exam
13828,202310,CHEM,110,002,Chemistry,School of Natural Sciences,Chemistry,13,30,02:30PM - 04:05PM T DBH 180,FRESHMAN CHEMISTRY SEMINAR,,,,"Matsuda, Seiichi P.",No Final Exam
14658,202310,CHEM,214,004,Chemistry,School of Natural Sciences,Chemistry,22,25,10:00AM - 10:50AM F DBH 110,ORGANIC CHEM DISCUSSION II,,,,"O'Leary, Lesley R.",No Final Exam
14659,202310,CHEM,214,005,Chemistry,School of Natural Sciences,Chemistry,24,25,01:00PM - 01:50PM F DBH 110,ORGANIC CHEM DISCUSSION II,,,,"O'Leary, Lesley R.",No Final Exam
14660,202310,CHEM,214,006,Chemistry,School of Natural Sciences,Chemistry,18,25,02:00PM - 02:50PM F DBH 110,ORGANIC CHEM DISCUSSION II,,,,"O'Leary, Lesley R.",No Final Exam
14657,202310,CHEM,214,002,Chemistry,School of Natural Sciences,Chemistry,24,25,09:00AM - 09:50AM F DBH 110,ORGANIC CHEM DISCUSSION II,,,,"O'Leary, Lesley R.",No Final Exam
14735,202310,CHEM,496,001,Chemistry,School of Natural Sciences,Chemistry,3,20,07:00PM - 08:15PM TR DBH 110,ADVANCED INORGANIC CHEMISTRY,8,20,5F,"Yruegas, Samantha",Scheduled Final Exam-OTR Room
14759,202310,CHEM,213,009,Chemistry,School of Natural Sciences,Chemistry,11,25,02:00PM - 02:50PM M DBH 210,ORGANIC CHEM DISCUSSION I,,,,"Pauze, Martin",No Final Exam
10553,202310,CHIN,263,001,Chinese,School of Humanities,Cntr Lang & Intercultural Comm,19,20,10:00AM - 10:50AM MWF RZR 113,SECOND YEAR CHINESE I,,,,"Fu, Liang",No Final Exam
10670,202310,CHIN,141,004,Chinese,School of Humanities,Cntr Lang & Intercultural Comm,11,20,11:00AM - 11:50AM MWF HUM 118,FIRST YEAR CHINESE I,,,,"Yeh, Meng",No Final Exam
10671,202310,CHIN,141,002,Chinese,School of Humanities,Cntr Lang & Intercultural Comm,7,16,10:00AM - 10:50AM MWF RZR 305,FIRST YEAR CHINESE I,,,,"Hsu, Wei-Li",No Final Exam
11152,202310,CHIN,301,001,Chinese,School of Humanities,Cntr Lang & Intercultural Comm,10,20,11:00AM - 11:50AM MWF RZR 113,THIRD YEAR CHINESE I,,,,"Fu, Liang",No Final Exam
12160,202310,CHIN,141,001,Chinese,School of Humanities,Cntr Lang & Intercultural Comm,7,16,09:00AM - 09:50AM MWF RZR 305,FIRST YEAR CHINESE I,,,,"Yeh, Meng",No Final Exam
12161,202310,CHIN,311,002,Chinese,School of Humanities,Cntr Lang & Intercultural Comm,15,20,02:00PM - 02:50PM MWF HUM 118,ACCEL INTERMEDIATE CHINESE I,,,,"Fu, Liang",No Final Exam
12162,202310,CHIN,401,001,Chinese,School of Humanities,Cntr Lang & Intercultural Comm,8,16,02:00PM - 02:50PM MWF RZR 302,FOURTH YEAR CHINESE I,,,,"Hsu, Wei-Li",No Final Exam
14229,202310,CHIN,401,002,Chinese,School of Humanities,Cntr Lang & Intercultural Comm,11,16,11:00AM - 11:50AM MWF RZR 305,FOURTH YEAR CHINESE I,,,,"Hsu, Wei-Li",No Final Exam
12151,202310,CLAS,102,001,Classical Studies,School of Humanities,Modrn & Classicl Lit & Culture,6,70,09:00AM - 09:50AM MWF HRG 100,INTRO TO HIST OF WESTERN ART I,43,70,G9,"Crawford-Brown, Sophie A.",Scheduled Final Exam-Dept Room
13323,202310,CLAS,492,001,Classical Studies,School of Humanities,Modrn & Classicl Lit & Culture,1,0, -   TBA TBA,SPECIAL TOPICS,,,,"McGill, Scott C.",No Final Exam
13429,202310,CLAS,124,001,Classical Studies,School of Humanities,Modrn & Classicl Lit & Culture,4,19,02:30PM - 03:45PM TR RZR 227,ANTIQUITY IN CHILDREN'S LIT,,,,"Mackie, Hilary S.",Take-Home Exam
13833,202310,CLAS,493,001,Classical Studies,School of Humanities,Modrn & Classicl Lit & Culture,1,0, -   TBA TBA,SENIOR THESIS,,,,"McGill, Scott C.",No Final Exam
14041,202310,CLAS,218,001,Classical Studies,School of Humanities,Modrn & Classicl Lit & Culture,15,50,02:00PM - 03:15PM WF SEW 307,GREEK ART AND ARCHAEOLOGY,36,50,A4,"Crawford-Brown, Sophie A.",Scheduled Final Exam-Dept Room
12973,202310,CMST,201,001,Cinema and Media Studies,School of Humanities,Cinema and Media Studies,17,25,02:30PM - 03:45PM TR RZR 106,HISTORY OF CINEMA AND MEDIA I,20,25,B3,"Blumenthal-Barby, Martin",No Final Exam
12845,202310,CMST,203,001,Cinema and Media Studies,School of Humanities,Cinema and Media Studies,25,30,09:25AM - 10:40AM TR HUM 119,INTRODUCTION TO FILM ANALYSIS,,,,"Oukaderova, Lida",Scheduled Final Exam-OTR Room
10407,202310,COLL,200,012,College Course,Dean of Undergraduates,College Courses,2,0, -   TBA TBA,TEACHING PRACT FYF PEER GUIDES,,,,"Lopez, Araceli",No Final Exam
10343,202310,COLL,200,001,College Course,Dean of Undergraduates,College Courses,4,0, -   TBA TBA,TEACHING PRACTICUM - BAKER,,,,"Duno-Gottberg, Luis",No Final Exam
10344,202310,COLL,200,002,College Course,Dean of Undergraduates,College Courses,1,0, -   TBA TBA,TEACHING PRACTICUM - BROWN,,,,"Fregly, Benjamin",No Final Exam
10346,202310,COLL,200,004,College Course,Dean of Undergraduates,College Courses,2,0, -   TBA TBA,TEACHING PRACTICUM - HANSZEN,,,,"Lopez Duran, Maria Fabiola",No Final Exam
10350,202310,COLL,200,008,College Course,Dean of Undergraduates,College Courses,2,0, -   TBA TBA,TEACHING PRACTICUM - MCMURTRY,,,,"Bratter, Jenifer L.",No Final Exam
10352,202310,COLL,200,010,College Course,Dean of Undergraduates,College Courses,1,0, -   TBA TBA,TEACHING PRACTICUM - SID RICH,,,,"Marschall, Melissa J.",No Final Exam
14306,202310,COLL,150,001,College Course,Dean of Undergraduates,College Courses,14,15,07:00PM - 07:59PM R HNZ PDR,WINES & VINES,,,,"Lin, Andrea L.",No Final Exam
14307,202310,COLL,171,001,College Course,Dean of Undergraduates,College Courses,15,19,07:00PM - 07:59PM W DCH 1042,CHINESE CULTURE THROUGH FOOD,,,,"Zou, Raymond",No Final Exam
14308,202310,COLL,195,001,College Course,Dean of Undergraduates,College Courses,8,19,06:00PM - 06:59PM T HUM 227,THE BOOK OF ROMANS,,,,"Westheimer, Christa B.",No Final Exam
14309,202310,COLL,115,001,College Course,Dean of Undergraduates,College Courses,11,12,06:00PM - 06:59PM T HUM 118,MODERN CLASSICAL MYTHOLOGY,,,,"Ziglin, Alayna M.",No Final Exam
14310,202310,COLL,192,001,College Course,Dean of Undergraduates,College Courses,16,19,05:00PM - 05:59PM T RZR 305,THE UNIVERSE AND US,,,,"Wagner, Jonah S.",No Final Exam
14311,202310,COLL,125,001,College Course,Dean of Undergraduates,College Courses,11,15,07:00PM - 07:59PM M RZR 113,SCIENCE IN FILM,,,,"Lenkeit, Evan",No Final Exam
14312,202310,COLL,197,001,College Course,Dean of Undergraduates,College Courses,7,19,07:00PM - 07:59PM T RZR 106,FUNDAMENTALS OF VOICE ACTING,,,,"DuCharme, Dylan L.",No Final Exam
14313,202310,COLL,166,001,College Course,Dean of Undergraduates,College Courses,13,19,06:00PM - 06:59PM T HRG 125,MIND GAMES,,,,"Dominguez, Nicolas D.",No Final Exam
14314,202310,COLL,198,001,College Course,Dean of Undergraduates,College Courses,9,19,06:00PM - 06:59PM W HUM 119,HISTORY OF FASHION,,,,"Munson, Nikole E.",No Final Exam
14315,202310,COLL,158,001,College Course,Dean of Undergraduates,College Courses,17,19,07:00PM - 07:59PM T HUM 118,MEMES & LINGUISTICS,,,,"Walters, Grace N.",No Final Exam
14316,202310,COLL,135,001,College Course,Dean of Undergraduates,College Courses,7,8,05:00PM - 05:59PM T TBA TBA,FORM AND FUNCTION OF CERAMICS,,,,"Cowin, Kai",No Final Exam
14317,202310,COLL,134,001,College Course,Dean of Undergraduates,College Courses,16,19,07:00PM - 07:59PM T HUM 119,RUBIK'S CUBE THEORY,,,,"Chang, Kevin L.",No Final Exam
14318,202310,COLL,107,001,College Course,Dean of Undergraduates,College Courses,11,19,07:00PM - 07:59PM T HUM 226,STORIES & LEGENDS OF INDIA,,,,"Kishinchandani, Sachi",No Final Exam
14319,202310,COLL,128,001,College Course,Dean of Undergraduates,College Courses,10,19,07:00PM - 07:59PM W SEW 207,THE ART OF LAZY PROGRAMMING,,,,"Hernandez, Carlos J.",No Final Exam
14922,202310,COLL,222,001,College Course,Dean of Undergraduates,College Courses,16,0,07:00PM - 07:59PM T RZR 119,"HOUSTON: RACE, PLACE, POWER",,,,"Byrd, Alexander X.",Take-Home Exam
14636,202310,COLL,128,002,College Course,Dean of Undergraduates,College Courses,4,19,06:00PM - 06:59PM W SEW 207,THE ART OF LAZY PROGRAMMING,,,,"Hernandez, Carlos J.",No Final Exam
14721,202310,COLL,135,002,College Course,Dean of Undergraduates,College Courses,6,8,05:30PM - 06:29PM R TBA TBA,FORM AND FUNCTION OF CERAMICS,,,,"Cowin, Kai",No Final Exam
10052,202310,COMP,412,001,Computer Science,School of Engineering,Computer Science,139,133,11:00AM - 11:50AM MWF HRZ AMP,COMPILER CONSTRUCTION - UG,,,,"Cooper, Keith D.",No Final Exam
10053,202310,COMP,450,001,Computer Science,School of Engineering,Computer Science,14,50,01:00PM - 02:15PM TR DCH 1064,ALGORITHMIC ROBOTICS,38,50,08,"Kavraki, Lydia E.",Scheduled Final Exam-OTR Room
10205,202310,COMP,326,001,Computer Science,School of Engineering,Computer Science,5,73,10:50AM - 12:05PM TR DCH 1070,DIGITAL LOGIC DESIGN,43,73,I8,"Varman, Peter J.",Scheduled Final Exam-OTR Room
10354,202310,COMP,390,001,Computer Science,School of Engineering,Computer Science,2,0, -   TBA TBA,COMPUTER SCIENCE PROJECTS,,,,"Nakhleh, Luay",No Final Exam
10883,202310,COMP,390,003,Computer Science,School of Engineering,Computer Science,1,0, -   TBA TBA,COMPUTER SCIENCE PROJECTS,,,,"St. Pierre, Francois",No Final Exam
10924,202310,COMP,409,001,Computer Science,School of Engineering,Computer Science,7,40,09:25AM - 10:40AM TR DCH 1075,ADV LOGIC IN COMPUTER SCIENCE,15,40,3A,"Vardi, Moshe Y.",Take-Home Exam
10415,202310,COMP,413,001,Computer Science,School of Engineering,Computer Science,35,40,03:00PM - 03:50PM MWF PCF 3,DISTRIB PROGRAM CONSTRUCTION,,,,"Wallach, Dan S.",Scheduled Final Exam-OTR Room
10668,202310,COMP,311,001,Computer Science,School of Engineering,Computer Science,12,35,09:25AM - 10:40AM TR DCH 1064,FUNCTIONAL PROGRAMMING,19,60,9D,"Cartwright, Robert S.",Scheduled Final Exam-OTR Room
10712,202310,COMP,330,001,Computer Science,School of Engineering,Computer Science,64,80,02:00PM - 02:50PM MWF HRZ AMP,TOOLS & MODELS - DATA SCIENCE,148,130,4G,"Jermaine, Christopher M.",No Final Exam
11155,202310,COMP,382,002,Computer Science,School of Engineering,Computer Science,115,0,"10:50AM - 12:05PM TR DCH 1055, 04:00PM - 05:15PM R KCK 100",REASONING ABOUT ALGORITHMS,230,240,XO,"Burke, Michael G.",Scheduled Online Final Exam
11156,202310,COMP,382,003,Computer Science,School of Engineering,Computer Science,115,0,"10:50AM - 12:05PM TR DCH 1055, 05:30PM - 06:45PM R KCK 100",REASONING ABOUT ALGORITHMS,230,240,XO,"Burke, Michael G.",Scheduled Online Final Exam
11220,202310,COMP,390,005,Computer Science,School of Engineering,Computer Science,1,0, -   TBA TBA,COMPUTER SCIENCE PROJECTS,,,,"Cox, Alan L.",No Final Exam
11340,202310,COMP,430,001,Computer Science,School of Engineering,Computer Science,43,60,02:00PM - 02:50PM MWF DCH 1064,INTRO TO DATABASE SYSTEMS,58,100,4N,"Myers, Risa B.",Take-Home Exam
11922,202310,COMP,301,001,Computer Science,School of Engineering,Computer Science,59,60,04:00PM - 05:15PM TR PCF 4,COMPUTER ETHICS,76,80,4I,"Ferreira Flores, Rodrigo",Scheduled Final Exam-OTR Room
11950,202310,COMP,215,004,Computer Science,School of Engineering,Computer Science,57,0,02:00PM - 02:50PM MWF PCF 3,INTRODUCTION TO PROGRAM DESIGN,,,,"Schreib, Rebecca J.",No Final Exam
11951,202310,COMP,417,001,Computer Science,School of Engineering,Computer Science,1,30,10:50AM - 12:05PM TR DCH 1075,ADVANCED OPERATING SYSTEMS,11,60,1T,"Dautenhahn, Nathan D.",Scheduled Final Exam-OTR Room
11986,202310,COMP,414,001,Computer Science,School of Engineering,Computer Science,7,50,10:50AM - 12:05PM TR DCH 1064,"ALGORITHMS, COMPLEX. & APPROX",38,100,2D,"Kyrillidis, Anastasios",Scheduled Final Exam-OTR Room
11708,202310,COMP,425,001,Computer Science,School of Engineering,Computer Science,4,250,10:50AM - 12:05PM TR HRZ AMP,COMPUTER SYSTEMS ARCHITECTURE,206,250,10,"Simar, Ray",Take-Home Exam
11773,202310,COMP,390,009,Computer Science,School of Engineering,Computer Science,2,0, -   TBA TBA,COMPUTER SCIENCE PROJECTS,,,,"Unhelkar, Vaibhav Vasant",No Final Exam
11784,202310,COMP,390,010,Computer Science,School of Engineering,Computer Science,1,0, -   TBA TBA,COMPUTER SCIENCE PROJECTS,,,,"Lieberman-Aiden, Erez",No Final Exam
11854,202310,COMP,490,004,Computer Science,School of Engineering,Computer Science,1,0, -   TBA TBA,COMPUTER SCIENCE PROJECTS,,,,"Allen, Genevera I.",Scheduled Final Exam-Dept Room
12112,202310,COMP,390,013,Computer Science,School of Engineering,Computer Science,2,0, -   TBA TBA,COMPUTER SCIENCE PROJECTS,,,,"Treangen, Todd J.",No Final Exam
12641,202310,COMP,490,007,Computer Science,School of Engineering,Computer Science,1,0, -   TBA TBA,COMPUTER SCIENCE PROJECTS,,,,"Tunnell, Christopher D.",Take-Home Exam
12741,202310,COMP,490,010,Computer Science,School of Engineering,Computer Science,2,0, -   TBA TBA,COMPUTER SCIENCE PROJECTS,,,,"Yao, Victoria",Take-Home Exam
12832,202310,COMP,490,013,Computer Science,School of Engineering,Computer Science,1,0, -   TBA TBA,COMPUTER SCIENCE PROJECTS,,,,"Mamouras, Konstantinos",Take-Home Exam
12890,202310,COMP,424,001,Computer Science,School of Engineering,Computer Science,11,24,02:30PM - 03:45PM MW HRG 129,MOBILE & EMBEDDED SYSTEM,47,40,00,"Young, Joseph D.",No Final Exam
14256,202310,COMP,321,001,Computer Science,School of Engineering,Computer Science,17,60,"01:00PM - 02:15PM R DCH Sym II Lab, 02:30PM - 03:45PM TR SEW 303",INTRO TO COMPUTER SYSTEMS,,,,"Chen, Ang",Scheduled Final Exam-OTR Room
13527,202310,COMP,215,002,Computer Science,School of Engineering,Computer Science,71,60,10:00AM - 10:50AM MWF PCF 3,INTRODUCTION TO PROGRAM DESIGN,,,,"Schreib, Rebecca J.",No Final Exam
13528,202310,COMP,215,001,Computer Science,School of Engineering,Computer Science,70,60,09:00AM - 09:50AM MWF PCF 3,INTRODUCTION TO PROGRAM DESIGN,,,,"Schreib, Rebecca J.",No Final Exam
13529,202310,COMP,140,001,Computer Science,School of Engineering,Computer Science,72,0,02:30PM - 03:45PM TR BRK 101,COMPUTATIONAL THINKING,,,,"Johnson, David B.",Scheduled Online Final Exam
13530,202310,COMP,140,003,Computer Science,School of Engineering,Computer Science,68,0,01:00PM - 02:15PM TR BRK 101,COMPUTATIONAL THINKING,,,,"Johnson, David B.",Scheduled Online Final Exam
13531,202310,COMP,140,002,Computer Science,School of Engineering,Computer Science,73,0,10:50AM - 12:05PM TR BRK 101,COMPUTATIONAL THINKING,,,,"Rixner, Scott",Scheduled Online Final Exam
13532,202310,COMP,140,004,Computer Science,School of Engineering,Computer Science,70,0,09:25AM - 10:40AM TR BRK 101,COMPUTATIONAL THINKING,,,,"Rixner, Scott",Scheduled Online Final Exam
13552,202310,COMP,140,901,Computer Science,School of Engineering,Computer Science,62,20,07:00PM - 08:15PM TR FULLY ONLINE,COMPUTATIONAL THINKING,,,,"Orooji, Marmar",Scheduled Online Final Exam
14288,202310,COMP,347,001,Computer Science,School of Engineering,Computer Science,11,24,02:30PM - 03:45PM TR DCH 1042,COMP MICROBIAL FORENSICS,15,48,3W,"Treangen, Todd J.",Scheduled Final Exam-OTR Room
14283,202310,COMP,215,003,Computer Science,School of Engineering,Computer Science,55,0,01:00PM - 01:50PM MWF PCF 3,INTRODUCTION TO PROGRAM DESIGN,,,,"Schreib, Rebecca J.",No Final Exam
13339,202310,COMP,422,001,Computer Science,School of Engineering,Computer Science,6,20,02:30PM - 03:45PM TR DCH 1070,PARALLEL COMPUTING,46,80,5H,"Mellor-Crummey, John M.",No Final Exam
14933,202310,COMP,182,002,Computer Science,School of Engineering,Computer Science,43,50,04:00PM - 05:15PM MW HRZ 212,ALGORITHMIC THINKING,,,,"Cooper, Keith D.",No Final Exam
14423,202310,COMP,341,001,Computer Science,School of Engineering,Computer Science,49,50,04:00PM - 05:15PM TR HRZ 210,PRACTICAL MACHINE LEARNING,,,,"Yao, Victoria",Take-Home Exam
14220,202310,COMP,435,001,Computer Science,School of Engineering,Computer Science,3,12,02:00PM - 04:30PM W KCK 105,ELECTION SYSTEMS,13,15,B4,"Stein, Robert M.",No Final Exam
14253,202310,COMP,481,001,Computer Science,School of Engineering,Computer Science,1,50,02:30PM - 03:45PM TR SEW 305,AUTOMATA/FORMAL LANG/COMPUTING,10,100,2H,"Goldman, Ronald N.",Take-Home Exam
14254,202310,COMP,480,001,Computer Science,School of Engineering,Computer Science,14,50,02:30PM - 03:45PM TR DCH 1064,PROBABILISTIC ALGORITHMS AND D,59,100,1X,"Shrivastava, Anshumali",Scheduled Final Exam-OTR Room
14634,202310,COMP,442,001,Computer Science,School of Engineering,Computer Science,13,50,04:00PM - 05:15PM TR HRZ 212,REINFORCEMENT LEARNING,28,50,4U,"Unhelkar, Vaibhav Vasant",Scheduled Final Exam-OTR Room
14714,202310,COMP,390,016,Computer Science,School of Engineering,Computer Science,1,0, -   TBA TBA,COMPUTER SCIENCE PROJECTS,,,,"Chen, Ang",Take-Home Exam
14624,202310,COMP,310,001,Computer Science,School of Engineering,Computer Science,61,60,"01:00PM - 01:50PM MWF HRZ AMP, 01:00PM - 02:15PM T DCH Sym II Lab",ADV OBJECT-ORIENTED PROG,109,120,XL,"Wong, Stephen B.",Scheduled Final Exam-OTR Room
14738,202310,COMP,390,017,Computer Science,School of Engineering,Computer Science,2,0, -   TBA TBA,COMPUTER SCIENCE PROJECTS,,,,"Hang, Kaiyu",Take-Home Exam
14625,202310,COMP,310,002,Computer Science,School of Engineering,Computer Science,48,60,"01:00PM - 01:50PM MWF HRZ AMP, 04:00PM - 05:15PM T DCH Sym II Lab",ADV OBJECT-ORIENTED PROG,109,120,XL,"Wong, Stephen B.",Scheduled Final Exam-OTR Room
14870,202310,COMP,449,002,Computer Science,School of Engineering,Computer Science,6,99,04:00PM - 05:30PM MW PCF 3,DATA SCIENCE PROJECTS,56,99,33,"Barman, Arko",No Final Exam
15047,202310,COMP,490,018,Computer Science,School of Engineering,Computer Science,1,0, -   TBA TBA,COMPUTER SCIENCE PROJECTS,,,,"Byrne, Michael D.",Take-Home Exam
10206,202310,CSCI,390,001,Cognitive Sciences,School of Social Sciences,Cognitive Sciences,9,0, -   TBA TBA,SUPERV RESRCH COGNITIVE SCI,,,,"Moore, Bartlett D.",No Final Exam
10207,202310,CSCI,481,001,Cognitive Sciences,School of Social Sciences,Cognitive Sciences,2,0, -   TBA TBA,HONORS PROJECT,,,,"Moore, Bartlett D.",No Final Exam
12802,202310,CSCI,340,001,Cognitive Sciences,School of Social Sciences,Cognitive Sciences,21,16,01:00PM - 02:15PM TR BKH 116,METHODS OF COGNITIVE SCIENCE,,,,"Moore, Bartlett D.",Take-Home Exam
14692,202310,CSCI,299,001,Cognitive Sciences,School of Social Sciences,Cognitive Sciences,1,0, -   TBA TBA,EXPERIENTIAL EDUC IN COGSCI,,,,"Moore, Bartlett D.",No Final Exam
11913,202310,DSCI,301,005,Data Science,School of Engineering,Data Science,5,10,"02:30PM - 03:45PM TR KCK 100, 06:00PM - 08:00PM T DCH Sym II Lab",STATISTICS FOR DATA SCIENCE,48,120,XT,"Guerra, Rudy",Scheduled Final Exam-OTR Room
11914,202310,DSCI,301,006,Data Science,School of Engineering,Data Science,1,10,"02:30PM - 03:45PM TR KCK 100, 07:00PM - 09:00PM T MXF 252",STATISTICS FOR DATA SCIENCE,48,120,XT,"Guerra, Rudy",Scheduled Final Exam-OTR Room
12169,202310,DSCI,304,001,Data Science,School of Engineering,Data Science,21,20,09:25AM - 10:40AM TR DCH Sym II Lab,DATA VISUALIZATION,,,,"Perry, Steven G.",Scheduled Final Exam-OTR Room
12170,202310,DSCI,304,002,Data Science,School of Engineering,Data Science,15,20,10:50AM - 12:05PM TR DCH Sym II Lab,DATA VISUALIZATION,,,,"Perry, Steven G.",Scheduled Final Exam-OTR Room
12785,202310,DSCI,101,001,Data Science,School of Engineering,Data Science,45,50,"09:00AM - 09:50AM MWF PCF 4, 07:00PM - 09:00PM W PCF 4",INTRO TO DATA SCIENCE,78,99,MP,"Chen, Su",No Final Exam
14404,202310,DSCI,101,002,Data Science,School of Engineering,Data Science,33,49,"09:00AM - 09:50AM MWF PCF 4, 07:00PM - 09:00PM R PCF 4",INTRO TO DATA SCIENCE,78,99,MP,"Chen, Su",No Final Exam
14510,202310,DSCI,305,002,Data Science,School of Engineering,Data Science,40,40,10:50AM - 12:05PM TR PCF 4,"DATA, ETHICS, AND SOCIETY",,,,"Petrick, Elizabeth R.",No Final Exam
14613,202310,DSCI,303,002,Data Science,School of Engineering,Data Science,21,49,02:30PM - 03:45PM TR SEW 309,MACHINE LEARNING FOR DS,,,,"Sano, Akane",Scheduled Final Exam-OTR Room
14866,202310,DSCI,435,002,Data Science,School of Engineering,Data Science,16,99,04:00PM - 05:30PM MW PCF 3,DATA SCIENCE PROJECTS,56,99,33,"Barman, Arko",No Final Exam
10210,202310,ECON,437,001,Economics,School of Social Sciences,Economics,20,50,10:00AM - 10:50AM MWF KRF 110,ENERGY ECONOMICS,44,75,03,"Medlock, Kenneth B.",Scheduled Final Exam-OTR Room
10301,202310,ECON,307,001,Economics,School of Social Sciences,Economics,10,10,01:00PM - 02:15PM TR HRZ AMP,PROBABILITY & STATISTICS,123,125,H1,"Bertolusso, Roberto L.",Scheduled Final Exam-OTR Room
10418,202310,ECON,239,001,Economics,School of Social Sciences,Economics,23,30,04:00PM - 06:30PM M KRF 125,LAW AND ECONOMICS,,,,"Warden, David E.",Scheduled Final Exam-OTR Room
10633,202310,ECON,100,001,Economics,School of Social Sciences,Economics,157,165,10:50AM - 12:05PM TR HRG 100,PRINCIPLES OF ECONOMICS,,,,"DeNicco, James P.",Scheduled Online Final Exam
10634,202310,ECON,203,001,Economics,School of Social Sciences,Economics,28,75,09:25AM - 10:40AM TR KRF 125,MACROECONOMICS,,,,"Carlton, Amelie B.",Take-Home Exam
10635,202310,ECON,308,001,Economics,School of Social Sciences,Economics,12,75,"11:00AM - 12:15PM MW KRF 105, 11:00AM - 11:50AM F KRF 105",MATHEMATICAL ECONOMICS,,,,"Bejan, Maria M.",Scheduled Final Exam-OTR Room
10636,202310,ECON,422,001,Economics,School of Social Sciences,Economics,9,49,02:00PM - 03:15PM MW KRF 105,INTERNATIONAL ECON & FINANCE,,,,"Bejan, Maria M.",No Final Exam
10637,202310,ECON,498,001,Economics,School of Social Sciences,Economics,2,25,05:15PM - 06:30PM MW KRF 102,HONORS PROGRAM IN ECONOMICS-I,,,,"Cunha, Flavio A.",No Final Exam
10729,202310,ECON,210,001,Economics,School of Social Sciences,Economics,44,49,02:00PM - 03:15PM MW KRF 110,BEHAVIORAL ECONOMICS,,,,"Biavati, Michele",Scheduled Final Exam-OTR Room
10992,202310,ECON,300,001,Economics,School of Social Sciences,Economics,32,49,08:00AM - 09:15AM MW KRF 125,"GAME THEORY, MICRO TOPICS/ECON",,,,"Biavati, Michele",Scheduled Final Exam-OTR Room
10996,202310,ECON,305,001,Economics,School of Social Sciences,Economics,10,49,10:00AM - 10:50AM MWF KRF 105,"GAME THEORY, MICRO TOPICS/MTEC",,,,"Boylan, Richard T.",Scheduled Final Exam-OTR Room
11309,202310,ECON,310,003,Economics,School of Social Sciences,Economics,17,30,"02:30PM - 03:45PM TR KRF 105, 07:00PM - 08:15PM T KRF 105",ECONOMETRICS,17,30,E4,"El-Gamal, Mahmoud A.",Take-Home Exam
11533,202310,ECON,200,001,Economics,School of Social Sciences,Economics,41,0,"10:50AM - 12:05PM TR SEW 305, 01:00PM - 01:50PM W FULLY ONLINE",MICROECONOMICS,63,125,ZJ,"Brown, James N.",Scheduled Final Exam-OTR Room
