CRN,TERM_CODE,SUBJ_CODE,CRSE_NUMB,SEQ_NUMB,SUBJ_DESC,SCHOOL_DESC,DEPT_DESC,ENRL,MAX_ENRL,MEETING,CRSE_TITLE,XLST_ENRL,XLST_MAX_ENRL,XLST_GROUP,INSTR_NAME,EXAM_TYPE
12204,202310,ARTS,230,001,Visual Arts,School of Humanities,Visual and Dramatic Arts,8,12,01:00PM - 03:50PM TR SEW 405,COMICS AND SEQUENTIAL ART,9,12,J0,"Sperandio, Christopher J.",No Final Exam
13500,202310,ARTS,311,002,Visual Arts,School of Humanities,Visual and Dramatic Arts,9,8,01:00PM - 03:50PM TR SEW 201,BEGINNING PRINTMAKING,,,,"Masterson, Patrick D.",No Final Exam
13506,202310,ARTS,301,004,Visual Arts,School of Humanities,Visual and Dramatic Arts,14,8,09:00AM - 11:50AM MW SEW 525,BEGINNING PAINTING,,,,"Bowdoin, Natasha M.",No Final Exam
13166,202310,ARTS,103,001,Visual Arts,School of Humanities,Visual and Dramatic Arts,9,8,10:50AM - 12:05PM TR HRG 129,CREATIVE 2-D DESIGN,15,28,AZ,"Sperandio, Christopher J.",No Final Exam
13280,202310,ARTS,401,001,Visual Arts,School of Humanities,Visual and Dramatic Arts,11,8,01:00PM - 03:50PM MW SEW 425,PAINTING STUDIO,,,,"Bowdoin, Natasha M.",No Final Exam
13742,202310,ARTS,432,001,Visual Arts,School of Humanities,Visual and Dramatic Arts,3,12,07:00PM - 09:50PM T SEW 301,FILM GENRE: THE WESTERN,11,15,E8,"Huberman, Brian M.",No Final Exam
14924,202310,ARTS,238,001,Visual Arts,School of Humanities,Visual and Dramatic Arts,11,12,06:00PM - 08:50PM W SEW 301,ENVIRONMENTAL FILMAKING,,,,"Thirumalaisamy, Sindhu",No Final Exam
14114,202310,ARTS,225,002,Visual Arts,School of Humanities,Visual and Dramatic Arts,10,8,09:00AM - 11:50AM MW SEW 415,BEGINNING DRAWING,,,,"Fowler, William G.",No Final Exam
14117,202310,ARTS,326,001,Visual Arts,School of Humanities,Visual and Dramatic Arts,11,8,06:00PM - 08:50PM MW SEW 405,COLLAGE,,,,"Fowler, William G.",No Final Exam
14776,202310,ARTS,165,003,Visual Arts,School of Humanities,Visual and Dramatic Arts,14,12,01:00PM - 03:50PM TR SEW 254,BEGINNING SCULPTURE,,,,"Mays, Devin T.",No Final Exam
14177,202310,ASIA,355,001,Asian Studies,School of Humanities,Asian Studies,1,12,01:00PM - 03:30PM T HRG 126,CINEMA AND THE CITY,12,12,01,"Oukaderova, Lida",No Final Exam
13493,202310,ASIA,372,001,Asian Studies,School of Humanities,Asian Studies,1,19,11:00AM - 11:50AM MWF SEW 307,CHINESE ART AND THE WORLD,16,19,L1,"Huang, Shih-Shan S.",Take-Home Exam
14359,202310,ASIA,236,001,Asian Studies,School of Humanities,Asian Studies,7,19,02:00PM - 03:15PM WF SEW 562,BUDDHISM AND SCIENCE,,,,"Huntington, Eric R.",No Final Exam
14374,202310,ASIA,224,001,Asian Studies,School of Humanities,Asian Studies,29,30,10:50AM - 12:05PM TR HUM 328,A HISTORY OF THE SILK ROADS,,,,"Balabanlilar, Lisa A.",No Final Exam
13380,202310,ASIA,495,001,Asian Studies,School of Humanities,Asian Studies,7,0,07:00PM - 09:50PM W BKH 229,ASIAN STUDIES RESEARCH SEM,,,,"Lewis, Steven W.",No Final Exam
14368,202310,ASIA,214,001,Asian Studies,School of Humanities,Asian Studies,18,19,10:00AM - 10:50AM MWF SEW 307,E ASIAN ART CULTURAL HERITAGE,,,,"Huang, Shih-Shan S.",Take-Home Exam
14358,202310,ASIA,219,001,Asian Studies,School of Humanities,Asian Studies,15,19,02:30PM - 03:45PM TR KCK 107,MODERN JAPAN,,,,"Lu, Xu",Take-Home Exam
14360,202310,ASIA,243,001,Asian Studies,School of Humanities,Asian Studies,6,19,09:25AM - 10:40AM TR SEW 562,PREMODERN CHINA,,,,"Kim, Jaymin",No Final Exam
14361,202310,ASIA,336,001,Asian Studies,School of Humanities,Asian Studies,4,19,04:00PM - 05:15PM WF SEW 460,GENDER AND SOCIETY IN BUDDHISM,,,,"Huntington, Eric R.",No Final Exam
14362,202310,ASIA,380,001,Asian Studies,School of Humanities,Asian Studies,7,19,01:00PM - 02:15PM TR KCK 107,ASIAN AMERICAN HISTORY,8,19,D7,"Lu, Xu",Take-Home Exam
14363,202310,ASIA,383,001,Asian Studies,School of Humanities,Asian Studies,12,19,01:00PM - 02:15PM TR SEW 133,UNDERSTANDING NORTH KOREA,,,,"Ryang, Soon",Take-Home Exam
14082,202310,ASIA,231,001,Asian Studies,School of Humanities,Asian Studies,3,30,02:00PM - 03:15PM MW HBH 427,AMERICAN METAPHYSICAL RELIGION,4,30,A5,"Panin, Stanislav",No Final Exam
14398,202310,ASIA,322,001,Asian Studies,School of Humanities,Asian Studies,16,50,10:50AM - 12:05PM TR HBH 227,INTRODUCTION TO BUDDHISM,40,50,F3,"Foote, Learned M.",No Final Exam
14401,202310,ASIA,222,001,Asian Studies,School of Humanities,Asian Studies,11,23,09:00AM - 09:50AM MWF BKH 102,WORLD AND SOUTH ASIA,19,23,E3,"Srinivasan, Ragini Tharoor",No Final Exam
10209,202310,ASTR,470,001,Astronomy,School of Natural Sciences,Physics and Astronomy,1,50,02:30PM - 03:45PM TR HBH B21,SOLAR SYSTEM PHYSICS,12,50,6J,"Alexander, David",Take-Home Exam
10282,202310,ASTR,451,001,Astronomy,School of Natural Sciences,Physics and Astronomy,7,25,11:00AM - 11:50AM MWF HBH 453,ASTROPHYSICS I: SUN AND STARS,,,,"Johns-Krull, Christopher M.",Take-Home Exam
12306,202310,ASTR,101,001,Astronomy,School of Natural Sciences,Physics and Astronomy,41,100,09:25AM - 10:40AM TR HRZ 210,"STARS, GALAXIES & THE UNIVERSE",,,,"Isella, Andrea",Scheduled Final Exam-OTR Room
12740,202310,ASTR,350,002,Astronomy,School of Natural Sciences,Physics and Astronomy,4,10,10:50AM - 12:05PM TR HBH 254,INTRO ASTROPHYSICS-STARS,,,,"Hartigan, Patrick M.",Take-Home Exam
12810,202310,ASTR,400,001,Astronomy,School of Natural Sciences,Physics and Astronomy,4,25,12:00PM - 12:50PM W HBH 227,UNDERGRADUATE RESEARCH SEMINAR,16,25,2S,"Baring, Matthew G.",No Final Exam
14056,202310,ASTR,102,001,Astronomy,School of Natural Sciences,Physics and Astronomy,14,99,02:30PM - 03:45PM TR HBH 427,EXPLORATN OF THE SOLAR SYSTEM,,,,"Levy, Eugene H.",Scheduled Final Exam-OTR Room
10211,202310,BIOE,385,002,Bioengineering,School of Engineering,Bioengineering,16,0,01:00PM - 04:00PM W BRC 230,BIOMEDICAL INSTRUMENTATION LAB,,,,"Long, James",Scheduled Final Exam-Dept Room
