CRN,TERM_CODE,SUBJECT,COURSE_NUMBER,SECTION,SUBJECT_DESC,SCHOOL,DEPARTMENT,SECTION_ENROLLMENT,SECTION_MAX_ENROLLMENT,MEETINGS,COURSE_TITLE,CROSS_LIST_ENROLLMENT,CROSS_LIST_MAX_ENROLLMENT,CROSS_LIST_GROUP,INSTRUCTOR,EXAM_TYPE
11272,202410,MUSI,449,012,Music,School of Music,Music,0,0, -   TBA TBA,UNDERGRAD INDEPENDENT STUDY,,,,"Loewen, Peter V.",No Final Exam
11273,202410,MUSI,449,020,Music,School of Music,Music,0,0, -   TBA TBA,UNDERGRAD INDEPENDENT STUDY,,,,"Greitzer, Mary L.",No Final Exam
11275,202410,MUSI,281,002,Music,School of Music,Music,13,19, -   TBA TBA,SECONDARY PIANO,,,,"Park, Sohyoung; Baquerizo, Elena A.",No Final Exam
11276,202410,MUSI,381,003,Music,School of Music,Music,1,0, -   TBA TBA,CONCENTRATION PIANO,,,,"Park, Sohyoung",No Final Exam
11277,202410,MUSI,381,004,Music,School of Music,Music,3,0, -   TBA TBA,CONCENTRATION PIANO,,,,"Park, Sohyoung; Botti, Anna-Sofia A.",No Final Exam
11278,202410,MUSI,381,005,Music,School of Music,Music,3,0, -   TBA TBA,CONCENTRATION PIANO,,,,"Park, Sohyoung; Kriiva, Mihhail",No Final Exam
11280,202410,MUSI,441,031,Music,School of Music,Music,1,0, -   TBA TBA,SENIOR RECITAL,,,,"Ver Meulen, William",No Final Exam
11295,202410,MUSI,336,001,Music,School of Music,Music,2,4,04:00PM - 07:00PM TR BHO PTRNRH,UNDERGRADUATE OPERA WORKSHOP,,,,"Winograde, Joshua",No Final Exam
15131,202410,MUSI,378,001,Music,School of Music,Music,8,14,04:00PM - 06:20PM R APB 1403,CROSS-CULTURAL ASIAN MUSIC,14,14,A2,"Chen, Shih-Hui",No Final Exam
11551,202410,MUSI,449,021,Music,School of Music,Music,0,0, -   TBA TBA,UNDERGRAD INDEPENDENT STUDY,,,,"Stallmann, Kurt D.",No Final Exam
12132,202410,MUSI,449,022,Music,School of Music,Music,1,0, -   TBA TBA,UNDERGRAD INDEPENDENT STUDY,,,,"Pitts, Timothy N.",No Final Exam
11635,202410,MUSI,341,043,Music,School of Music,Music,0,0, -   TBA TBA,JUNIOR RECITAL,,,,"Martinez, Ana M.",No Final Exam
11670,202410,MUSI,317,003,Music,School of Music,Music,14,14,01:00PM - 02:15PM TR APB 1403,THEORY FOR NON MAJORS I,,,,"Lindell, Nicholas J.",No Final Exam
11765,202410,MUSI,341,028,Music,School of Music,Music,0,0, -   TBA TBA,JUNIOR RECITAL,,,,"Rice, John R.",No Final Exam
11766,202410,MUSI,441,028,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Rice, John R.",No Final Exam
11779,202410,MUSI,381,002,Music,School of Music,Music,3,0, -   TBA TBA,CONCENTRATION PIANO,,,,"Park, Sohyoung",No Final Exam
11843,202410,MUSI,383,001,Music,School of Music,Music,0,0, -   TBA TBA,CONCENTRATION ORGAN,,,,"Cowan, Kenneth A.",No Final Exam
12183,202410,MUSI,416,001,Music,School of Music,Music,8,14,09:25AM - 10:40AM TR APB 1131,ORCHESTRATION,,,,"Jalbert, Pierre D.",No Final Exam
12185,202410,MUSI,473,004,Music,School of Music,Music,2,19, -   TBA TBA,VOICE FOR MAJORS,,,,"Thomas, Nova R.",No Final Exam
12833,202410,MUSI,449,006,Music,School of Music,Music,0,0, -   TBA TBA,UNDERGRAD INDEPENDENT STUDY,,,,"Hou, Jerry",No Final Exam
12834,202410,MUSI,449,007,Music,School of Music,Music,0,0, -   TBA TBA,UNDERGRAD INDEPENDENT STUDY,,,,"Cowan, Kenneth A.",No Final Exam
12296,202410,MUSI,341,014,Music,School of Music,Music,0,0, -   TBA TBA,JUNIOR RECITAL,,,,"Thomas, Nova R.",No Final Exam
12297,202410,MUSI,441,014,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Thomas, Nova R.",No Final Exam
15133,202410,MUSI,426,001,Music,School of Music,Music,4,0,01:00PM - 02:15PM TR BHO 221,PIANO LITERATURE - SURVEY,,,,"Palmer, James H.",No Final Exam
12661,202410,MUSI,449,004,Music,School of Music,Music,0,0, -   TBA TBA,UNDERGRAD INDEPENDENT STUDY,,,,"Winkler, Kathleen",No Final Exam
12662,202410,MUSI,449,003,Music,School of Music,Music,0,0, -   TBA TBA,UNDERGRAD INDEPENDENT STUDY,,,,"Kamins, Benjamin C.",No Final Exam
12663,202410,MUSI,441,017,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Thomas, Nova R.",No Final Exam
12664,202410,MUSI,449,002,Music,School of Music,Music,0,0, -   TBA TBA,UNDERGRAD INDEPENDENT STUDY,,,,"Buyse, Leone",No Final Exam
12665,202410,MUSI,341,016,Music,School of Music,Music,0,0, -   TBA TBA,JUNIOR RECITAL,,,,"Thomas, Nova R.",No Final Exam
12755,202410,MUSI,345,002,Music,School of Music,Music,0,0, -   TBA TBA,APPLIED STUDIES IN JAZZ,,,,"Kamins, Daniel L.",No Final Exam
12760,202410,MUSI,449,005,Music,School of Music,Music,0,0, -   TBA TBA,UNDERGRAD INDEPENDENT STUDY,,,,"Jaber, Thomas I.",No Final Exam
12788,202410,MUSI,338,002,Music,School of Music,Music,0,0, -   TBA TBA,CHAMBER MUSIC - UG,,,,"Atherholt, Robert R.",No Final Exam
12982,202410,MUSI,335,001,Music,School of Music,Music,35,75,04:00PM - 05:30PM MW APB HIRSCH,RICE CHORALE,,,,"Jaber, Thomas I.",No Final Exam
12985,202410,MUSI,444,001,Music,School of Music,Music,10,12,09:25AM - 10:40AM TR APB 1403,PRACTICUM IN CONTEMPORARY MUSI,,,,"Blench, Karl E.",No Final Exam
13284,202410,MUSI,281,003,Music,School of Music,Music,8,14, -   TBA TBA,SECONDARY PIANO,,,,"Park, Sohyoung; Park, Saehyun",No Final Exam
13304,202410,MUSI,171,001,Music,School of Music,Music,0,0, -   TBA TBA,PERCUSSION/NON MAJORS,,,,,No Final Exam
13305,202410,MUSI,151,001,Music,School of Music,Music,1,0, -   TBA TBA,FLUTE FOR NON-MAJORS,,,,"Mayman, Calvin",No Final Exam
13306,202410,MUSI,153,001,Music,School of Music,Music,0,0,,OBOE FOR NON-MAJORS,,,,,No Final Exam
13307,202410,MUSI,155,001,Music,School of Music,Music,0,0,,CLARINET FOR NON-MAJORS,,,,,No Final Exam
13308,202410,MUSI,157,001,Music,School of Music,Music,0,0,,BASSOON FOR NON-MAJORS,,,,,No Final Exam
13310,202410,MUSI,163,001,Music,School of Music,Music,0,0, -   TBA TBA,TRUMPET FOR NON-MAJORS,,,,"Armitage, Paul S.",No Final Exam
13311,202410,MUSI,165,001,Music,School of Music,Music,1,0, -   TBA TBA,TROMBONE FOR NON-MAJORS,,,,"Son, Jihong",No Final Exam
13312,202410,MUSI,167,001,Music,School of Music,Music,0,0,,TUBA FOR NON-MAJORS,,,,,No Final Exam
13313,202410,MUSI,181,001,Music,School of Music,Music,1,0, -   TBA TBA,PIANO FOR NON-MAJORS,,,,"Park, Sohyoung; Arnold, Luke A.",No Final Exam
13314,202410,MUSI,183,001,Music,School of Music,Music,0,0, -   TBA TBA,ORGAN FOR NON-MAJORS,,,,"Amos, Emily D.",No Final Exam
13315,202410,MUSI,187,001,Music,School of Music,Music,0,0, -   TBA TBA,HARP FOR NON-MAJORS,,,,,No Final Exam
13317,202410,MUSI,193,001,Music,School of Music,Music,0,0,,VIOLA FOR NON-MAJORS,,,,,No Final Exam
13318,202410,MUSI,195,001,Music,School of Music,Music,1,0, -   TBA TBA,VIOLONCELLO FOR NON-MAJORS,,,,"Stoger, Sebastian",No Final Exam
13319,202410,MUSI,197,001,Music,School of Music,Music,0,0,,DOUBLE BASS FOR NON-MAJORS,,,,,No Final Exam
13516,202410,MUSI,361,001,Music,School of Music,Music,1,0, -   TBA TBA,CONCENTRATION HORN,,,,"Filippone, Sophia T.",No Final Exam
13693,202410,MUSI,342,003,Music,School of Music,Music,3,30,07:00PM - 10:00PM M TBA TBA,RICE JAZZ ENSEMBLE,,,,"Kamins, Daniel L.",No Final Exam
14630,202410,MUSI,338,001,Music,School of Music,Music,0,65,,CHAMBER MUSIC - UG,,,,,No Final Exam
13841,202410,MUSI,441,020,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Martinez, Ana M.",No Final Exam
14144,202410,MUSI,413,001,Music,School of Music,Music,12,0,01:00PM - 01:50PM MW APB 1401,DALCROZE EURHYTHMICS,,,,"Fischer, Jeanne K.",No Final Exam
14725,202410,MUSI,334,002,Music,School of Music,Music,64,100,10:00AM - 12:50PM S TBA TBA,CAMPANILE ORCHESTRA,,,,"Winkler, Kathleen",No Final Exam
