SUBJECT,COURSE_NUMBER,SECTION,CRN,EXAM_DATE,EXAM_TIME,BUILDING_CODE,ROOM_CODE
RCEL,436,001,13633,12/6/2023,1400,,
RCEL,410,001,13740,12/6/2023,1900,,
RCEL,420,002,16424,12/6/2023,1900,,
ANTH,490,012,12147,12/12/2023,1900,,
ANTH,490,013,12851,12/12/2023,1900,,
ANTH,490,002,13913,12/12/2023,1900,,
ANTH,490,007,13916,12/12/2023,1900,,
ARTS,400,001,16106,12/12/2023,1900,,
ARTS,300,001,16332,12/12/2023,1900,,
ASTR,461,001,14334,12/12/2023,1900,,
BIOE,400,001,10086,12/12/2023,1900,,
BUSI,395,001,14345,12/7/2023,1400,,
BUSI,395,003,14391,12/7/2023,1400,,
BUSI,360,001,14671,12/6/2023,1900,,
BUSI,222,001,16285,12/9/2023,1900,,
BUSI,224,001,15807,12/12/2023,1400,,
BUSI,430,001,15535,12/9/2023,0900,,
BUSI,440,001,15536,12/8/2023,1400,,
BUSI,305,004,16017,12/12/2023,1900,,
BUSI,343,003,16083,12/7/2023,1400,,
BUSI,310,003,16383,12/10/2023,0900,,
GLHT,451,001,10300,12/6/2023,0900,KCK,100
GLHT,201,001,10299,12/11/2023,1900,,
GLHT,314,001,11671,12/6/2023,1900,,
GLHT,392,001,14903,12/11/2023,1400,,
CHBE,301,002,10594,12/7/2023,1400,SST,106
CHBE,390,003,11585,12/11/2023,1400,SST,106
CHBE,401,003,11586,12/12/2023,0900,RYN,201
CHBE,468,001,12557,12/6/2023,0900,DCH,1046
CHBE,403,002,12636,12/7/2023,1400,,
CHBE,470,002,13499,12/7/2023,1900,DCH,1046
CHBE,243,001,14347,12/7/2023,1900,,
CHBE,412,001,15194,12/7/2023,1400,DCH,1064
CHBE,421,001,15779,12/9/2023,1900,,
CHBE,443,002,16070,12/11/2023,1400,,
CHBE,302,004,16071,12/6/2023,1400,,
SWGS,494,001,10416,12/11/2023,1400,,
SWGS,380,001,15525,12/11/2023,1400,,
SWGS,101,001,14701,12/12/2023,0900,ANH,117
EDUC,345,001,13327,12/6/2023,0900,,
EDUC,466,001,13647,12/6/2023,1900,,
EDUC,465,001,13648,12/6/2023,1900,,
EDUC,461,001,13650,12/6/2023,1900,,
EDUC,421,001,13651,12/6/2023,1900,,
COLL,108,001,15585,12/6/2023,0900,,
COLL,156,001,15586,12/11/2023,1900,,
COLL,167,001,15587,12/8/2023,1400,,
COLL,118,001,15588,12/8/2023,1400,,
COLL,178,001,15602,12/6/2023,0900,,
COLL,180,001,15603,12/8/2023,1400,,
COLL,183,001,15604,12/6/2023,1900,,
COLL,184,001,15605,12/6/2023,0900,,
COLL,186,001,15607,12/8/2023,1400,,
COLL,179,001,15608,12/6/2023,0900,,
COLL,188,001,15609,12/6/2023,1900,,
COLL,189,001,15610,12/6/2023,0900,,
COLL,167,002,16068,12/6/2023,0900,,
COLL,222,001,16340,12/6/2023,0900,,
PLST,305,001,11682,12/6/2023,1900,,
PLST,401,001,11686,12/8/2023,1400,,
PLST,307,001,15645,12/9/2023,1900,,
PLST,315,001,15371,12/10/2023,1900,HUM,328
CMST,203,001,12845,12/9/2023,1900,SEW,309
CMST,201,001,12973,12/11/2023,1900,,
DSCI,304,001,12169,12/12/2023,0900,DCH,1042
DSCI,304,002,12170,12/10/2023,1900,DCH,1042
DSCI,301,001,11913,12/11/2023,1900,ABL,131
BIOE,401,011,11512,12/12/2023,1900,,
BIOS,215,001,12332,12/12/2023,1900,,
BIOS,215,002,12333,12/12/2023,1900,,
BIOS,215,003,12334,12/12/2023,1900,,
BIOS,215,004,12335,12/12/2023,1900,,
BIOS,215,005,12336,12/12/2023,1900,,
BIOS,216,001,12337,12/12/2023,1900,,
BIOS,216,002,12338,12/12/2023,1900,,
BIOS,216,003,12339,12/12/2023,1900,,
BIOS,299,001,12341,12/12/2023,1900,,
BIOS,310,001,12343,12/6/2023,0900,,
BIOS,310,002,12344,12/6/2023,0900,,
BIOS,310,003,12345,12/6/2023,0900,,
BIOS,310,004,12346,12/6/2023,0900,,
BIOS,310,006,12347,12/6/2023,0900,,
BIOS,310,007,12348,12/6/2023,0900,,
BIOS,310,010,12350,12/6/2023,0900,,
BIOS,310,012,12351,12/6/2023,0900,,
BIOS,310,014,12352,12/6/2023,0900,,
BIOS,310,015,12353,12/6/2023,0900,,
BIOS,310,016,12354,12/6/2023,0900,,
BIOS,310,022,12359,12/6/2023,0900,,
BIOS,310,027,12363,12/6/2023,0900,,
BIOS,310,029,12365,12/6/2023,0900,,
BIOS,310,030,12366,12/6/2023,0900,,
BIOS,310,031,12367,12/6/2023,0900,,
BIOS,310,032,12368,12/6/2023,0900,,
BIOS,310,033,12369,12/6/2023,0900,,
BIOS,310,042,12375,12/6/2023,0900,,
BIOS,310,054,12377,12/6/2023,0900,,
BIOS,310,055,12378,12/6/2023,0900,,
BIOS,310,056,12379,12/6/2023,0900,,
BIOS,310,058,12381,12/6/2023,0900,,
BIOS,310,059,12382,12/6/2023,0900,,
BIOS,310,061,12383,12/6/2023,0900,,
BIOS,310,064,12386,12/6/2023,0900,,
BIOS,401,001,12398,12/12/2023,1900,,
BIOS,401,030,12421,12/12/2023,1900,,
BIOS,310,053,12578,12/12/2023,1900,,
BIOS,310,067,12649,12/12/2023,1900,,
BIOS,310,065,13801,12/12/2023,1900,,
BIOS,310,060,14245,12/12/2023,1900,,
BIOS,401,065,14638,12/12/2023,1900,,
BIOS,310,057,14913,12/12/2023,1900,,
BIOS,310,066,14914,12/12/2023,1900,,
BIOS,216,005,14921,12/12/2023,1900,,
BIOS,216,006,16254,12/12/2023,1900,,
MUSI,317,003,11670,12/11/2023,1400,,
MUSI,416,001,12183,12/12/2023,0900,,
MUSI,426,001,15133,12/11/2023,1400,,
MUSI,335,001,12982,12/9/2023,1900,,
MUSI,444,001,12985,12/12/2023,0900,,
MUSI,342,003,13693,12/8/2023,1400,,
MUSI,413,001,14144,12/8/2023,1900,,
MUSI,334,002,14725,12/8/2023,1400,,
MUSI,414,001,15834,12/8/2023,0900,,
NAVA,101,001,10073,12/10/2023,1900,,
NAVA,403,001,10419,12/6/2023,0900,,
NAVA,203,001,11633,12/6/2023,0900,,
NAVA,302,001,14282,12/7/2023,1900,,
NAVA,303,001,15530,12/12/2023,0900,,
NEUR,415,001,15725,12/8/2023,0900,,
NEUR,383,002,14887,12/8/2023,1400,,
NEUR,477,001,16111,12/9/2023,1400,,
NEUR,362,002,16352,12/11/2023,1400,SEW,307
NSCI,120,002,10596,12/12/2023,0900,,
NSCI,120,003,10617,12/10/2023,1900,,
NSCI,120,001,10930,12/6/2023,0900,,
PHIL,130,002,12997,12/9/2023,1900,,
PHIL,373,001,13485,12/11/2023,1900,,
PHIL,289,001,15545,12/6/2023,1400,,
PHIL,125,001,14052,12/9/2023,1900,,
PHIL,160,001,14053,12/9/2023,1400,,
PHIL,220,001,15774,12/12/2023,0900,,
DSCI,101,001,12785,12/9/2023,1900,,
DSCI,303,002,14613,12/11/2023,1400,HRZ,210
DSCI,305,002,14510,12/10/2023,1900,,
DSCI,435,002,14866,12/9/2023,1900,,
MDEM,120,001,15668,12/8/2023,0900,,
MDEM,271,001,15679,12/12/2023,0900,,
EMSP,282,0F1,10574,12/6/2023,1900,BRK,101
EMSP,281,0F1,10722,12/6/2023,1900,BRK,101
LALX,332,001,15631,12/7/2023,1900,,
LALX,158,001,14406,12/11/2023,1400,,
LALX,238,001,15431,12/11/2023,1900,,
LALX,350,001,15348,12/6/2023,1400,,
EEPS,471,001,15411,12/11/2023,1900,KWG,100
EEPS,110,001,13258,12/8/2023,0900,ABL,131
EEPS,322,001,13262,12/7/2023,1900,KWG,100
BIOS,310,052,16442,12/12/2023,1900,,
BIOS,310,040,16421,12/12/2023,1900,,
CHEM,491,001,10201,12/12/2023,1900,,
CHEM,492,001,10394,12/12/2023,1900,,
CHEM,391,001,10540,12/12/2023,1900,,
CHEM,280,001,12089,12/12/2023,1900,,
COMP,390,003,10883,12/12/2023,1900,,
COMP,390,004,10884,12/12/2023,1900,,
COMP,390,002,10882,12/12/2023,1900,,
COMP,490,003,11504,12/12/2023,1900,DCH,1046
COMP,490,002,11285,12/12/2023,1900,,
COMP,490,004,11854,12/12/2023,1900,,
COMP,390,013,12112,12/12/2023,1900,,
COMP,490,008,12642,12/12/2023,1900,,
COMP,490,010,12741,12/12/2023,1900,,
COMP,490,014,12841,12/12/2023,1900,,
COMP,390,015,13727,12/12/2023,1900,,
COMP,390,017,14738,12/12/2023,1900,,
COMP,390,018,14925,12/12/2023,1900,,
COMP,490,018,15047,12/12/2023,1900,,
COMP,390,020,16455,12/12/2023,1900,,
COMP,390,021,16469,12/12/2023,1900,,
CSCI,390,001,10206,12/12/2023,1900,,
CSCI,481,001,10207,12/12/2023,1900,,
ECON,399,001,10625,12/12/2023,1900,,
ECON,498,001,10637,12/12/2023,1900,,
ECON,299,001,11687,12/12/2023,1900,,
ECON,498,002,15805,12/12/2023,1900,,
ECON,498,003,16313,12/12/2023,1900,,
ECON,498,004,16372,12/12/2023,1900,,
ECON,498,005,16427,12/12/2023,1900,,
BUSI,296,001,10222,12/7/2023,1400,,
BUSI,310,002,10310,12/6/2023,0900,,
BUSI,310,001,10650,12/8/2023,1900,,
BUSI,305,001,11375,12/8/2023,1900,,
BUSI,343,001,11377,12/8/2023,1900,,
BUSI,343,002,11378,12/8/2023,1400,,
BUSI,223,001,11432,12/11/2023,1900,,
BUSI,390,001,11683,12/11/2023,1900,,
BUSI,461,001,11945,12/11/2023,1400,,
BUSI,450,001,13453,12/12/2023,0900,,
BUSI,221,001,14296,12/12/2023,0900,,
BUSI,305,003,14299,12/12/2023,0900,,
BUSI,380,001,14300,12/10/2023,1900,,
BUSI,420,001,14301,12/11/2023,1400,,
BUSI,401,001,14303,12/6/2023,1900,,
BUSI,395,002,14344,12/7/2023,1400,,
EEPS,321,001,13263,12/8/2023,0900,,
EEPS,410,001,13352,12/9/2023,1400,KWG,128
EEPS,401,001,13377,12/9/2023,1400,,
EEPS,114,001,13386,12/6/2023,0900,,
EEPS,115,001,15406,12/8/2023,1900,ABL,131
EEPS,412,001,15407,12/8/2023,1400,KWG,128
EEPS,465,001,15409,12/8/2023,1900,KWG,128
EEPS,101,001,15405,12/7/2023,1900,HRG,100
EEPS,480,001,15826,12/11/2023,1400,,
EEPS,106,001,16171,12/12/2023,0900,KRF,105
EEPS,438,002,16277,12/6/2023,0900,BRK,101
SOPA,200,002,11870,12/11/2023,1400,KRF,110
SOPA,400,003,13534,12/11/2023,1900,KRF,110
SOPA,309,001,15128,12/8/2023,1400,ANH,117
FOTO,205,001,14628,12/8/2023,1400,,
ECON,499,001,16428,12/12/2023,1900,,
ELEC,491,001,10918,12/12/2023,1900,,
ELEC,491,005,10870,12/12/2023,1900,,
ELEC,490,003,12219,12/12/2023,1900,,
ELEC,491,007,12238,12/12/2023,1900,,
ELEC,491,008,12252,12/12/2023,1900,,
ELEC,490,006,12721,12/12/2023,1900,,
ELEC,490,011,13723,12/12/2023,1900,,
ELEC,490,018,15084,12/12/2023,1900,,
ELEC,490,019,15114,12/12/2023,1900,,
ELEC,490,020,16025,12/12/2023,1900,,
ENGI,330,001,10364,12/12/2023,1900,,
ENGI,220,003,16473,12/11/2023,0900,,
ENGL,493,002,12904,12/12/2023,1900,,
ENGL,493,001,13814,12/12/2023,1900,,
ENGL,493,003,16138,12/12/2023,1900,,
ENGL,493,004,16152,12/12/2023,1900,,
ENGL,493,006,16458,12/12/2023,1900,,
ENGL,493,005,16452,12/12/2023,1900,,
FREN,403,001,13325,12/12/2023,1900,,
GERM,491,001,16085,12/12/2023,1900,,
HART,300,001,11553,12/12/2023,1900,,
HART,402,002,12023,12/12/2023,1900,,
HART,402,003,12024,12/12/2023,1900,,
HART,400,001,12638,12/12/2023,1900,,
HART,301,001,14786,12/12/2023,1900,,
HEAL,499,003,10110,12/12/2023,1900,,
HEAL,499,006,11498,12/12/2023,1900,,
HEAL,495,003,11499,12/12/2023,1900,,
HEAL,379,003,11500,12/12/2023,1900,,
HEAL,499,010,16294,12/12/2023,1900,,
HEAL,279,001,15203,12/12/2023,1900,,
HUMA,399,001,16440,12/12/2023,1900,,
KINE,499,002,10112,12/12/2023,1900,,
KINE,499,003,10113,12/12/2023,1900,,
KINE,375,002,10360,12/12/2023,1900,,
MATH,304,001,15510,12/11/2023,1400,ABL,131
MECH,340,001,10025,12/8/2023,1400,,
MECH,407,001,10026,12/6/2023,0900,,
MECH,450,001,10234,12/11/2023,1400,DCH,1055
MECH,371,001,10317,12/7/2023,1900,DCH,1070
MECH,472,001,10597,12/6/2023,1400,,
MECH,340,002,11313,12/11/2023,1900,,
MECH,340,003,11314,12/8/2023,1400,,
MECH,340,004,11315,12/11/2023,1900,,
MECH,454,001,11410,12/12/2023,0900,,
MECH,332,001,11916,12/11/2023,1900,,
MECH,202,002,11937,12/6/2023,1900,HRZ,AMP
MECH,202,001,11939,12/7/2023,1900,DCH,1055
MECH,203,001,11940,12/10/2023,1900,,
MECH,203,002,11941,12/11/2023,1400,,
MECH,484,001,11946,12/11/2023,1900,,
MECH,332,004,11976,12/11/2023,1900,,
MECH,343,001,12573,12/7/2023,1400,HRZ,212
MECH,371,002,12584,12/12/2023,1400,DCH,1070
MECH,411,001,15335,12/12/2023,0900,,
MECH,482,001,15337,12/11/2023,1400,,
MECH,400,001,15475,12/8/2023,1400,MEB,128
ELEC,241,001,10017,12/8/2023,0900,,
ELEC,261,001,10018,12/8/2023,1400,ABL,131
ELEC,326,001,10019,12/10/2023,1900,HRZ,212
ELEC,450,001,10233,12/11/2023,1400,DCH,1055
ELEC,303,001,10235,12/12/2023,0900,DCH,1070
ELEC,494,001,10251,12/6/2023,0900,,
ELEC,240,001,11136,12/8/2023,1400,,
ELEC,460,001,11676,12/8/2023,1400,,
ELEC,425,001,11705,12/10/2023,1900,,
ELEC,462,001,11898,12/10/2023,1900,,
ELEC,434,001,11953,12/8/2023,1400,DCH,1075
ELEC,424,001,12889,12/9/2023,1900,,
ELEC,220,001,13717,12/12/2023,0900,,
ELEC,488,001,15755,12/8/2023,0900,,
ELEC,414,001,15769,12/9/2023,1900,,
ELEC,240,002,15786,12/11/2023,1900,,
MUSI,336,001,11295,12/6/2023,1400,,
MUSI,378,001,15131,12/6/2023,1400,,
MUSI,417,001,15132,12/10/2023,1900,,
FOTO,477,001,15430,12/7/2023,1900,,
FOTO,210,001,15381,12/10/2023,1900,,
FOTO,210,004,15382,12/6/2023,1400,,
FOTO,210,005,15383,12/8/2023,1400,,
FOTO,205,002,16436,12/8/2023,1400,,
MSNE,402,001,10522,12/8/2023,0900,DCH,1064
MSNE,406,001,10523,12/6/2023,1400,MEB,128
MSNE,401,001,11495,12/12/2023,0900,,
MSNE,450,002,13549,12/11/2023,1900,,
MSNE,451,002,13550,12/11/2023,1900,,
MSNE,407,002,15775,12/11/2023,1400,,
MSNE,304,003,14649,12/8/2023,1400,,
MSNE,222,001,15675,12/12/2023,0900,,
MSNE,477,001,16363,12/6/2023,1400,,
MUCH,423,001,12629,12/11/2023,1900,,
KINE,499,010,14785,12/12/2023,1900,,
KINE,275,001,15204,12/12/2023,1900,,
KINE,375,003,15210,12/12/2023,1900,,
KINE,499,011,16429,12/12/2023,1900,,
LING,481,005,14034,12/12/2023,1900,,
LING,482,005,14035,12/12/2023,1900,,
MATH,490,001,10064,12/12/2023,1900,,
MATH,490,002,10065,12/12/2023,1900,,
MATH,280,001,12256,12/12/2023,1900,,
MECH,490,002,11316,12/12/2023,1900,,
MECH,490,003,11707,12/12/2023,1900,,
MECH,490,004,11724,12/12/2023,1900,,
MECH,490,005,11795,12/12/2023,1900,,
MECH,490,006,11847,12/12/2023,1900,,
MECH,490,008,11981,12/12/2023,1900,,
MECH,490,012,16451,12/12/2023,1900,,
MECH,477,002,16441,12/12/2023,1900,,
MUSI,141,001,10122,12/12/2023,1900,,
MUSI,281,001,10125,12/12/2023,1900,,
MUSI,291,001,10126,12/12/2023,1900,,
MUSI,337,001,10132,12/12/2023,1900,,
MUSI,381,001,10136,12/12/2023,1900,,
MUSI,461,001,10145,12/12/2023,1900,,
MUSI,451,001,10141,12/12/2023,1900,,
MUSI,453,001,10142,12/12/2023,1900,,
MUSI,463,001,10146,12/12/2023,1900,,
MUSI,455,001,10143,12/12/2023,1900,,
MUSI,457,001,10144,12/12/2023,1900,,
MECH,343,002,14198,12/7/2023,1400,HRZ,212
MECH,343,003,14199,12/7/2023,1400,HRZ,212
MECH,343,004,14200,12/7/2023,1400,HRZ,212
MECH,477,001,16354,12/8/2023,1400,DCH,1046
MILI,106,001,10560,12/6/2023,0900,,
MILI,109,001,10561,12/6/2023,0900,,
MILI,123,001,10562,12/8/2023,1400,,
MILI,203,001,10565,12/8/2023,1400,,
MILI,403,001,10569,12/8/2023,1400,,
MILI,121,001,10601,12/6/2023,0900,,
MILI,121,002,10602,12/7/2023,1900,,
MILI,401,001,11729,12/6/2023,0900,,
MILI,201,001,12590,12/7/2023,1400,,
MILI,401,002,16389,12/8/2023,1900,,
MUSI,331,002,10309,12/8/2023,0900,,
MUSI,117,001,10121,12/7/2023,1400,,
MUSI,211,001,10123,12/8/2023,0900,,
MUSI,231,002,10124,12/7/2023,1400,,
MUSI,303,001,10127,12/11/2023,1900,,
MUSI,311,001,10128,12/10/2023,1900,,
MUSI,317,001,10129,12/7/2023,1900,,
MUSI,321,001,10130,12/7/2023,1900,,
MUSI,331,001,10131,12/8/2023,0900,,
MUSI,340,001,10133,12/6/2023,1400,,
MUSI,342,002,10135,12/8/2023,1400,,
SOCI,101,002,14730,12/8/2023,1400,,
SOCI,325,001,14731,12/9/2023,1900,,
SOCI,358,001,14732,12/8/2023,1400,,
SOCI,411,001,15809,12/8/2023,1900,,
SOSC,444,001,10687,12/6/2023,1400,KRF,125
SOSC,302,001,11675,12/7/2023,1900,HRZ,212
SOSC,445,001,11747,12/6/2023,0900,,
SOSC,302,002,11896,12/8/2023,0900,HRZ,212
SPAN,263,001,10555,12/7/2023,1400,,
SPAN,263,002,10556,12/7/2023,1900,,
SPAN,321,002,10558,12/9/2023,1400,,
SPAN,321,001,10559,12/7/2023,1900,,
SPAN,141,001,10677,12/8/2023,0900,,
SPAN,141,002,10678,12/8/2023,1900,,
SPAN,142,001,10679,12/7/2023,1400,,
SPAN,142,002,10680,12/7/2023,1900,,
SPAN,321,003,11293,12/7/2023,1900,,
SPAN,264,004,12164,12/7/2023,1900,,
SPAN,321,005,12165,12/8/2023,0900,,
SPAN,264,002,11874,12/7/2023,1400,,
MUCH,238,001,16049,12/7/2023,1900,,
CMOR,422,001,15163,12/7/2023,1400,SEW,309
CMOR,360,001,15164,12/10/2023,0900,BRK,101
CMOR,220,001,15477,12/8/2023,1900,,
CMOR,415,001,15756,12/8/2023,0900,,
CMOR,220,002,15478,12/8/2023,1900,,
CMOR,220,003,15479,12/8/2023,1900,,
CMOR,220,004,15480,12/8/2023,1900,,
CMOR,220,005,15481,12/8/2023,1900,,
CMOR,220,006,15482,12/8/2023,1900,,
MUSI,467,001,10148,12/12/2023,1900,,
MUSI,471,001,10149,12/12/2023,1900,,
MUSI,472,001,10150,12/12/2023,1900,,
MUSI,473,001,10151,12/12/2023,1900,,
MUSI,481,001,10152,12/12/2023,1900,,
MUSI,487,001,10153,12/12/2023,1900,,
MUSI,493,001,10154,12/12/2023,1900,,
MUSI,495,001,10155,12/12/2023,1900,,
MUSI,497,001,10156,12/12/2023,1900,,
MUSI,415,001,10225,12/12/2023,1900,,
MUSI,339,004,10378,12/12/2023,1900,,
MUSI,339,007,10381,12/12/2023,1900,,
MUSI,483,001,10399,12/12/2023,1900,,
MUSI,377,001,10406,12/12/2023,1900,,
MUSI,285,001,10424,12/12/2023,1900,,
MUSI,401,002,10440,12/12/2023,1900,,
MUSI,401,003,10441,12/12/2023,1900,,
MUSI,401,004,10442,12/12/2023,1900,,
MUSI,401,005,10443,12/12/2023,1900,,
MUSI,401,006,10444,12/12/2023,1900,,
MUSI,401,007,10445,12/12/2023,1900,,
MUSI,473,002,10447,12/12/2023,1900,,
MUSI,481,002,10448,12/12/2023,1900,,
MUSI,481,003,10449,12/12/2023,1900,,
MUSI,491,002,10451,12/12/2023,1900,,
MUSI,491,003,10452,12/12/2023,1900,,
MUSI,491,004,10453,12/12/2023,1900,,
MUSI,493,002,10454,12/12/2023,1900,,
MUSI,495,002,10455,12/12/2023,1900,,
MUSI,497,002,10456,12/12/2023,1900,,
MUSI,338,003,10490,12/12/2023,1900,,
MUSI,338,004,10491,12/12/2023,1900,,
MUSI,338,006,10493,12/12/2023,1900,,
MUSI,338,007,10494,12/12/2023,1900,,
MUSI,338,008,10495,12/12/2023,1900,,
MUSI,338,009,10496,12/12/2023,1900,,
MUSI,338,010,10497,12/12/2023,1900,,
MUSI,338,011,10498,12/12/2023,1900,,
MUSI,338,012,10499,12/12/2023,1900,,
MUSI,338,013,10500,12/12/2023,1900,,
MUSI,338,015,10501,12/12/2023,1900,,
MUSI,338,016,10502,12/12/2023,1900,,
MUSI,338,017,10503,12/12/2023,1900,,
MUSI,338,019,10505,12/12/2023,1900,,
MUSI,338,020,10506,12/12/2023,1900,,
MUSI,338,022,10508,12/12/2023,1900,,
MUSI,338,023,10509,12/12/2023,1900,,
MUSI,341,017,10831,12/12/2023,1900,,
MUSI,441,033,10840,12/12/2023,1900,,
MUSI,441,016,10842,12/12/2023,1900,,
MUSI,341,005,11019,12/12/2023,1900,,
MUSI,341,009,11023,12/12/2023,1900,,
MUSI,341,012,11025,12/12/2023,1900,,
MUSI,341,018,11028,12/12/2023,1900,,
MUSI,403,001,10138,12/8/2023,1900,,
MUSI,421,001,10139,12/7/2023,1900,,
MUSI,117,002,10226,12/11/2023,1900,,
MUSI,231,001,10283,12/7/2023,1400,,
MUSI,339,001,10375,12/11/2023,1400,,
MUSI,339,002,10376,12/6/2023,1400,,
MUSI,339,003,10377,12/6/2023,1400,,
MUSI,339,005,10379,12/11/2023,1400,,
MUSI,339,006,10380,12/6/2023,0900,,
CHEM,314,004,16131,12/7/2023,1900,,
CHEM,314,005,16132,12/8/2023,1900,,
CHEM,314,006,16133,12/9/2023,1400,,
CHEM,314,007,16134,12/8/2023,0900,,
CHEM,213,010,16404,12/7/2023,1900,,
CHIN,263,001,10553,12/7/2023,1900,,
CHIN,206,001,15386,12/8/2023,1900,,
CHIN,141,003,10670,12/8/2023,0900,,
CHIN,141,002,10671,12/7/2023,1900,,
CHIN,301,001,11152,12/8/2023,0900,,
CHIN,311,002,12161,12/9/2023,1400,,
CHIN,401,001,12162,12/9/2023,1400,,
CLAS,107,001,15341,12/11/2023,1400,,
CLAS,336,001,15342,12/12/2023,0900,,
COMP,412,001,10052,12/8/2023,0900,,
SPAN,303,001,11942,12/9/2023,1400,,
SPAN,322,002,12560,12/7/2023,1900,,
SPAN,264,005,12873,12/8/2023,0900,,
SPAN,263,004,13782,12/8/2023,0900,,
SPAN,322,005,15392,12/8/2023,0900,,
SPAN,322,003,13955,12/8/2023,0900,,
SPAN,406,001,15596,12/11/2023,1400,,
SPAN,368,001,15601,12/6/2023,1400,,
SPAN,322,004,14687,12/7/2023,1400,,
SPAN,158,001,14880,12/11/2023,1400,,
SPAN,356,001,14928,12/11/2023,1900,,
SPAN,330,001,14932,12/8/2023,1400,,
SPAN,436,001,15647,12/6/2023,1400,,
SPAN,350,001,15350,12/11/2023,1400,,
